Target	Assoc	n	Root	Ratio
tahta	sandalye	3	sandal	0.86
kadın	eş	1	eş	1.0
kadın	eşitlik	2	eş	0.44
kadın	güzel	12	güzel	1.0
kadın	güzellik	4	güzel	0.77
yavru	ev	2	ev	1.0
yavru	evlat	2	ev	0.57
gülüş	sevgi	2	sevgi	1.0
gülüş	sevgili	1	sevgi	0.83
soyut	hayal	2	hayal	1.0
soyut	hayalet	1	hayal	0.83
örtü	baş	1	baş	1.0
örtü	baş örtüsü	1	baş	0.46
rüzgar	yel	6	yel	1.0
rüzgar	yelkenli	1	yel	0.55
oynaş	iş	6	iş	1.0
oynaş	işve	1	iş	0.67
oynaş	sevgi	1	sevgi	1.0
oynaş	sevgili	6	sevgi	0.83
eşit	eş	2	eş	1.0
eşit	eşitlik	2	eş	0.44
polis	adalet	1	adalet	1.0
polis	adaletsizlik	1	adalet	0.67
gıcırtı	ses	17	ses	1.0
gıcırtı	sessizlik	1	ses	0.5
maytap	hava	1	hava	1.0
maytap	havai fişek	4	hava	0.53
gürültü	ses	18	ses	1.0
gürültü	sessizlik	2	ses	0.5
büyü	fal	5	fal	1.0
büyü	falcı	2	fal	0.75
büyü	korku	2	korku	1.0
büyü	korkunç	1	korku	0.83
büyü	kötü	1	kötü	1.0
büyü	kötülük	1	kötü	0.73
büyü	sihir	14	sihir	1.0
büyü	sihirbaz	2	sihir	0.77
engel	at	6	at	1.0
engel	atlama	3	at	0.5
engel	atletizm	1	at	0.4
engel	zor	3	zor	1.0
engel	zorluk	7	zor	0.67
adalet	hak	13	hak	1.0
adalet	hakim	7	hak	0.75
yama	ek	3	ek	1.0
yama	eksik	1	ek	0.57
yama	fakir	4	fakir	1.0
yama	fakirlik	3	fakir	0.77
ayıp	kaba	1	kaba	1.0
ayıp	kabahat	1	kaba	0.73
ayıp	kız	1	kız	1.0
ayıp	kızarma	1	kız	0.6
ayıp	kızdırma	1	kız	0.55
incir	tat	2	tat	1.0
incir	tatil	1	tat	0.75
incir	tatlı	8	tat	0.75
pamuk	kan	2	kan	1.0
pamuk	kanama	1	kan	0.67
gül	sevgi	1	sevgi	1.0
gül	sevgili	2	sevgi	0.83
patron	iş	12	iş	1.0
patron	işveren	4	iş	0.44
patron	işçi	4	iş	0.67
manken	güzel	13	güzel	1.0
manken	güzellik	2	güzel	0.77
manken	zayıf	4	zayıf	1.0
manken	zayıflık	3	zayıf	0.77
mağara	in	20	in	1.0
mağara	inziva	1	in	0.5
atom	parça	2	parça	1.0
atom	parçalanma	1	parça	0.67
bunalım	saçma	1	saçma	1.0
bunalım	saçmalık	1	saçma	0.77
bilişim	bilgi	8	bilgi	1.0
bilişim	bilgisayar	23	bilgi	0.67
mektup	posta	1	posta	1.0
mektup	postacı	1	posta	0.83
girift	giriş	2	giriş	1.0
girift	girişken	4	giriş	0.77
çehre	güzel	3	güzel	1.0
çehre	güzellik	4	güzel	0.77
ip	bağ	1	bağ	1.0
ip	bağcık	1	bağ	0.67
ip	bağlamak	1	bağ	0.55
karışık	düzen	2	düzen	1.0
karışık	düzenli	2	düzen	0.83
karışık	düzensiz	5	düzen	0.77
parmak	el	30	el	1.0
parmak	eldiven	2	el	0.44
kuzgun	kan	1	kan	1.0
kuzgun	kanat	1	kan	0.75
bilek	ince	5	ince	1.0
bilek	incelik	1	ince	0.73
ishal	hasta	3	hasta	1.0
ishal	hastalık	18	hasta	0.77
dede	anne	1	anne	1.0
dede	anneanne	4	anne	0.67
dede	baba	5	baba	1.0
dede	babaanne	2	baba	0.67
dede	büyük	2	büyük	1.0
dede	büyük anne	1	büyük	0.67
dede	büyük baba	1	büyük	0.67
viski	bar	2	bar	1.0
viski	bardak	5	bar	0.67
geçerlik	yasa	1	yasa	1.0
geçerlik	yasak	1	yasa	0.89
anarşist	düzen	1	düzen	1.0
anarşist	düzen bozucu	1	düzen	0.59
anarşist	düzensizlik	2	düzen	0.62
anarşist	terör	16	terör	1.0
anarşist	terörist	12	terör	0.77
anarşist	özgür	2	özgür	1.0
anarşist	özgürlük	2	özgür	0.77
ajan	giz	1	giz	1.0
ajan	gizem	1	giz	0.75
ajan	gizli	22	giz	0.75
ajan	gizlilik	5	giz	0.55
ajan	gizli	22	gizli	1.0
ajan	gizlilik	5	gizli	0.77
paslı	küf	1	küf	1.0
paslı	küflü	1	küf	0.75
kasnak	ip	5	ip	1.0
kasnak	iplik	1	ip	0.57
seyirci	oyun	4	oyun	1.0
seyirci	oyuncu	2	oyun	0.8
kral	imparator	2	imparator	1.0
kral	imparatorluk	3	imparator	0.86
urgan	ip	46	ip	1.0
urgan	iplik	2	ip	0.57
bela	baş	3	baş	1.0
bela	baş ağrısı	1	baş	0.46
bela	güç	1	güç	1.0
bela	güçlük	1	güç	0.67
bela	kötü	7	kötü	1.0
bela	kötülük	10	kötü	0.73
büro	iş	24	iş	1.0
büro	iş yeri	2	iş	0.44
büro	işlem	1	iş	0.57
avuç	iç	3	iç	1.0
avuç	içki	1	iç	0.67
misafir	ev	9	ev	1.0
misafir	ev sahibi	6	ev	0.36
rahatsız	hasta	36	hasta	1.0
rahatsız	hastalık	2	hasta	0.77
rahatsız	huzur	1	huzur	1.0
rahatsız	huzursuz	3	huzur	0.77
rahatsız	rahat	3	rahat	1.0
rahatsız	rahatlık	1	rahat	0.77
rahatsız	sinir	1	sinir	1.0
rahatsız	sinirli	1	sinir	0.83
rahatsız	ter	1	ter	1.0
rahatsız	terk etmek	1	ter	0.46
yağcılık	kötü	2	kötü	1.0
yağcılık	kötülük	1	kötü	0.73
yağcılık	yalaka	20	yalaka	1.0
yağcılık	yalakalık	4	yalaka	0.8
süt	ak	1	ak	1.0
süt	akşam	1	ak	0.57
yeni	temiz	4	temiz	1.0
yeni	temizlik	1	temiz	0.77
suçlu	ceza	11	ceza	1.0
suçlu	cezaevi	2	ceza	0.73
ütopya	düş	1	düş	1.0
ütopya	düşünce	1	düş	0.6
komik	eğlence	22	eğlence	1.0
komik	eğlenceli	1	eğlence	0.88
gündüz	yoğun	3	yoğun	1.0
gündüz	yoğunluk	2	yoğun	0.77
taşıt	oto	1	oto	1.0
taşıt	otobüs	12	oto	0.67
taşıt	otomobil	2	oto	0.55
taşıt	yol	5	yol	1.0
taşıt	yolcu	2	yol	0.75
taşıt	yolculuk	6	yol	0.55
taşıt	yolcu	2	yolcu	1.0
taşıt	yolculuk	6	yolcu	0.77
sarsıcı	korku	2	korku	1.0
sarsıcı	korkunç	1	korku	0.83
sazlık	saz	1	saz	1.0
sazlık	sazan	1	saz	0.75
şair	duygu	5	duygu	1.0
şair	duygusal	6	duygu	0.77
özlem	sevgi	14	sevgi	1.0
özlem	sevgili	3	sevgi	0.83
basınç	bar	4	bar	1.0
basınç	barometre	17	bar	0.5
basınç	su	3	su	1.0
basınç	su altı	2	su	0.44
basınç	yük	1	yük	1.0
basınç	yükseklik	2	yük	0.5
beyaz	kar	12	kar	1.0
beyaz	kara	1	kar	0.86
peşinatsız	para	3	para	1.0
peşinatsız	parasız	1	para	0.73
peşinatsız	rahat	1	rahat	1.0
peşinatsız	rahatlık	1	rahat	0.77
peşinatsız	ödeme	3	ödeme	1.0
peşinatsız	ödemesiz	1	ödeme	0.77
yalan	dürüst	1	dürüst	1.0
yalan	dürüstlük	2	dürüst	0.8
belge	bilgi	1	bilgi	1.0
belge	bilgisayar	1	bilgi	0.67
uçuş	hava	2	hava	1.0
uçuş	hava alanı	2	hava	0.57
müşfik	uyum	2	uyum	1.0
müşfik	uyumlu	2	uyum	0.8
ihmal	dikkat	1	dikkat	1.0
ihmal	dikkatsiz	1	dikkat	0.8
ihmal	dikkatsizlik	2	dikkat	0.67
ihmal	dikkatsiz	1	dikkatsiz	1.0
ihmal	dikkatsizlik	2	dikkatsiz	0.86
ihmal	tedbir	1	tedbir	1.0
ihmal	tedbirsizlik	3	tedbir	0.67
uçak	hava	8	hava	1.0
uçak	hava alanı	1	hava	0.57
vitrin	cam	10	cam	1.0
vitrin	camekan	7	cam	0.6
felaket	haber	1	haber	1.0
felaket	haberci	1	haber	0.83
suç	ceza	60	ceza	1.0
suç	ceza evi	1	ceza	0.67
çocuk	oyun	5	oyun	1.0
çocuk	oyuncak	4	oyun	0.73
müzik	şarkı	15	şarkı	1.0
müzik	şarkıcı	7	şarkı	0.83
arsa	boş	6	boş	1.0
arsa	boşluk	5	boş	0.67
arsa	mülk	3	mülk	1.0
arsa	mülkiyet	1	mülk	0.67
miras	zengin	3	zengin	1.0
miras	zenginlik	2	zengin	0.8
uyumlu	iyi	7	iyi	1.0
uyumlu	iyimser	1	iyi	0.6
terslik	şans	1	şans	1.0
terslik	şanssızlık	2	şans	0.57
bacak	ayak	11	ayak	1.0
bacak	ayakkabı	2	ayak	0.67
bayrak	ay	4	ay	1.0
bayrak	ay yıldız	5	ay	0.36
ölü	korku	5	korku	1.0
ölü	korkunç	1	korku	0.83
ölü	mezar	5	mezar	1.0
ölü	mezarlık	1	mezar	0.77
aile	anne	16	anne	1.0
aile	anneanne	1	anne	0.67
aile	bağ	1	bağ	1.0
aile	bağlılık	2	bağ	0.55
çiçek	güzel	1	güzel	1.0
çiçek	güzellik	1	güzel	0.77
çiçek	sevgi	1	sevgi	1.0
çiçek	sevgili	3	sevgi	0.83
sulak	bol	1	bol	1.0
sulak	bolluk	2	bol	0.67
sulak	su	3	su	1.0
sulak	sulu	3	su	0.67
hata	af	2	af	1.0
hata	affedilmez	2	af	0.33
hata	affetmek	3	af	0.4
hata	soru	1	soru	1.0
hata	sorun	1	soru	0.89
izlenim	görüş	12	görüş	1.0
izlenim	görüşme	1	görüş	0.83
komşu	dost	5	dost	1.0
komşu	dostluk	3	dost	0.73
saray	kral	8	kral	1.0
saray	kraliyet	1	kral	0.67
saray	kraliçe	1	kral	0.73
baba	ev	5	ev	1.0
baba	evlat	1	ev	0.57
baba	güç	2	güç	1.0
baba	güçlü	1	güç	0.75
baba	kel	1	kel	1.0
baba	kellik	1	kel	0.67
para	banka	1	banka	1.0
para	bankamatik	1	banka	0.67
para	zengin	6	zengin	1.0
para	zenginlik	2	zengin	0.8
borçlu	para	28	para	1.0
borçlu	parasız	6	para	0.73
ses	şarkı	1	şarkı	1.0
ses	şarkıcı	4	şarkı	0.83
sığlık	derin	9	derin	1.0
sığlık	derinlik	17	derin	0.77
başıboş	sokak	1	sokak	1.0
başıboş	sokak çocuğu	1	sokak	0.59
kan	korku	1	korku	1.0
kan	korkunç	1	korku	0.83
haz	tat	1	tat	1.0
haz	tatil	1	tat	0.75
haz	tatlı	1	tat	0.75
tekne	balık	6	balık	1.0
tekne	balıkçı	2	balık	0.83
tekne	yolcu	1	yolcu	1.0
tekne	yolculuk	1	yolcu	0.77
kayıp	top	1	top	1.0
kayıp	toplam	2	top	0.67
yarış	at	7	at	1.0
yarış	atlet	2	at	0.57
kablo	tel	4	tel	1.0
kablo	telefon	3	tel	0.6
kablo	televizyon	34	tel	0.46
alet	el	1	el	1.0
alet	elektronik	1	el	0.33
alet	iş	2	iş	1.0
alet	işçi	1	iş	0.67
zarar	kar	10	kar	1.0
zarar	karar	1	kar	0.75
zarar	yarar	12	yarar	1.0
zarar	yararsız	1	yarar	0.77
standart	norm	2	norm	1.0
standart	normal	6	norm	0.8
sesteş	anlam	2	anlam	1.0
sesteş	anlamdaş	1	anlam	0.77
sesteş	eş	1	eş	1.0
sesteş	eş anlamlı	6	eş	0.33
sesteş	eş sesli	16	eş	0.4
sesteş	eşit	1	eş	0.67
sesteş	ses	1	ses	1.0
sesteş	sesli	1	ses	0.75
nakavt	boks	63	boks	1.0
nakavt	boksör	3	boks	0.8
boru	kanal	1	kanal	1.0
boru	kanalizasyon	1	kanal	0.59
gaddar	acıma	2	acıma	1.0
gaddar	acımasız	18	acıma	0.77
su	ma	1	ma	1.0
su	mavi	2	ma	0.67
su	saf	1	saf	1.0
su	saflık	1	saf	0.67
su	temiz	1	temiz	1.0
su	temizlik	2	temiz	0.77
atık	pis	5	pis	1.0
atık	pislik	12	pis	0.67
indirim	kar	4	kar	1.0
indirim	kart	1	kar	0.86
memur	iş	2	iş	1.0
memur	işçi	6	iş	0.67
eleştirmen	yorum	1	yorum	1.0
eleştirmen	yorumcu	2	yorum	0.83
dostluk	arkadaş	10	arkadaş	1.0
dostluk	arkadaşlık	12	arkadaş	0.82
dostluk	bağ	2	bağ	1.0
dostluk	bağlılık	1	bağ	0.55
kırık	parça	4	parça	1.0
kırık	parçalanmış	2	parça	0.62
balık	yem	1	yem	1.0
balık	yemek	5	yem	0.75
ıslık	ses	17	ses	1.0
ıslık	seslenme	2	ses	0.55
mineral	maden	2	maden	1.0
mineral	maden suyu	6	maden	0.67
depo	mal	18	mal	1.0
depo	malzeme	3	mal	0.6
serin	su	1	su	1.0
serin	sulak	4	su	0.57
kavga	kötü	2	kötü	1.0
kavga	kötülük	2	kötü	0.73
çubuk	uzun	4	uzun	1.0
çubuk	uzunluk	1	uzun	0.73
hacim	dolu	1	dolu	1.0
hacim	doluluk	1	dolu	0.73
hacim	kap	2	kap	1.0
hacim	kapsam	1	kap	0.67
kapak	kap	2	kap	1.0
kapak	kapalı	3	kap	0.67
temas	el	2	el	1.0
temas	elektrik	3	el	0.4
haydut	suç	1	suç	1.0
haydut	suçlu	5	suç	0.75
tüy	kaz	1	kaz	1.0
tüy	kazak	1	kaz	0.75
nişancı	savaş	1	savaş	1.0
nişancı	savaşçı	1	savaş	0.83
uzak	yol	7	yol	1.0
uzak	yolculuk	1	yol	0.55
hukuk	hak	15	hak	1.0
hukuk	hakim	2	hak	0.75
çiçekçi	sevgi	3	sevgi	1.0
çiçekçi	sevgili	3	sevgi	0.83
dizgin	dur	1	dur	1.0
dizgin	duruş	3	dur	0.75
vicdan	acı	1	acı	1.0
vicdan	acıma	12	acı	0.75
vicdan	iyi	3	iyi	1.0
vicdan	iyilik	3	iyi	0.67
enerjik	hareket	5	hareket	1.0
enerjik	hareketli	17	hareket	0.88
sadist	acı	7	acı	1.0
sadist	acımasız	1	acı	0.55
sadist	kötü	3	kötü	1.0
sadist	kötü ruh	3	kötü	0.67
sadist	kötülük	6	kötü	0.73
yüce	ulu	44	ulu	1.0
yüce	ulus	1	ulu	0.86
sondaj	vida	1	vida	1.0
sondaj	vidanjör	1	vida	0.67
cenaze	ölü	4	ölü	1.0
cenaze	ölüm	31	ölü	0.86
bina	dik	1	dik	1.0
bina	dikdörtgen	1	dik	0.46
karar	an	13	an	1.0
karar	ani	3	an	0.8
karar	hakim	3	hakim	1.0
karar	hakimiyet	1	hakim	0.71
yansız	taraf	5	taraf	1.0
yansız	tarafsız	42	taraf	0.77
bilgi	bilge	1	bilge	1.0
bilgi	bilgelik	1	bilge	0.77
meraklı	sinir	1	sinir	1.0
meraklı	sinirlenmek	1	sinir	0.62
böcek	kara	3	kara	1.0
böcek	karafatma	5	kara	0.62
kapı	yol	1	yol	1.0
kapı	yolculuk	2	yol	0.55
zihin	yorgun	1	yorgun	1.0
zihin	yorgunluk	1	yorgun	0.8
önem	arz	1	arz	1.0
önem	arzu	1	arz	0.86
ülser	hasta	1	hasta	1.0
ülser	hastahane	2	hasta	0.71
ülser	hastalık	12	hasta	0.77
şiddetli	acı	1	acı	1.0
şiddetli	acılı	1	acı	0.75
toz	pis	7	pis	1.0
toz	pislik	7	pis	0.67
bağnaz	din	5	din	1.0
bağnaz	dindar	4	din	0.67
bıçak	el	1	el	1.0
bıçak	elma	1	el	0.67
aykırı	kural	2	kural	1.0
aykırı	kural dışı	1	kural	0.67
aykırı	uç	3	uç	1.0
aykırı	uçarı	1	uç	0.57
şeker	tat	1	tat	1.0
şeker	tatlı	28	tat	0.75
kas	spor	10	spor	1.0
kas	sporcu	1	spor	0.8
sohbet	dost	3	dost	1.0
sohbet	dostluk	1	dost	0.73
sohbet	hoş	6	hoş	1.0
sohbet	hoşgörü	1	hoş	0.6
sohbet	hoşnutluk	1	hoş	0.5
sohbet	kahve	2	kahve	1.0
sohbet	kahvehane	1	kahve	0.71
sohbet	konu	1	konu	1.0
sohbet	konuşma	9	konu	0.73
kanca	et	1	et	1.0
kanca	etek	1	et	0.67
dinamik	enerji	3	enerji	1.0
dinamik	enerjik	20	enerji	0.92
sanatçı	sanat	17	sanat	1.0
sanatçı	sanatkar	2	sanat	0.77
mezar	korku	2	korku	1.0
mezar	korkunç	1	korku	0.83
mezar	ölü	11	ölü	1.0
mezar	ölüm	35	ölü	0.86
omuz	boy	1	boy	1.0
omuz	boyun	2	boy	0.75
sabır	güç	1	güç	1.0
sabır	güçlü	1	güç	0.75
sabır	zor	4	zor	1.0
sabır	zorluk	3	zor	0.67
tren	yol	2	yol	1.0
tren	yolcu	5	yol	0.75
tren	yolculuk	9	yol	0.55
tren	yolcu	5	yolcu	1.0
tren	yolculuk	9	yolcu	0.77
bilimci	bilim	10	bilim	1.0
bilimci	bilim adamı	9	bilim	0.62
serbest	at	1	at	1.0
serbest	atlama	1	at	0.5
serbest	atılgan	1	at	0.44
uzun	boy	10	boy	1.0
uzun	boyun	1	boy	0.75
uzun	yol	6	yol	1.0
uzun	yolculuk	1	yol	0.55
ölüm	son	8	son	1.0
ölüm	sonsuz	2	son	0.67
deyim	söz	9	söz	1.0
deyim	sözcük	2	söz	0.67
deyim	sözlük	12	söz	0.67
gezi	tur	3	tur	1.0
gezi	turist	1	tur	0.67
gezi	turizm	1	tur	0.67
gezi	yol	1	yol	1.0
gezi	yolcu	1	yol	0.75
gezi	yolculuk	2	yol	0.55
gezi	yolcu	1	yolcu	1.0
gezi	yolculuk	2	yolcu	0.77
kahpe	kötü	8	kötü	1.0
kahpe	kötülük	2	kötü	0.73
heykel	sanat	13	sanat	1.0
heykel	sanatçı	1	sanat	0.83
uyum	eş	1	eş	1.0
uyum	eş güdüm	1	eş	0.4
fazlalık	artı	2	artı	1.0
fazlalık	artık	8	artı	0.89
elektrik	elektron	1	elektron	1.0
elektrik	elektronik	3	elektron	0.89
elektrik	tel	2	tel	1.0
elektrik	televizyon	1	tel	0.46
