Target	Assoc	n
126	atom	çekirdek	7
127	atom	öz	1
128	avuç	aya	20
129	avuç	bulmaca	1
130	avuç	dua	1
131	avuç	el	52
132	avuç	fındık	1
133	avuç	havuç	1
134	avuç	iç	3
135	avuç	içki	1
136	avuç	kaşıntı	1
137	avuç	leblebi	1
138	avuç	nem	1
139	avuç	para	3
140	avuç	parmak	5
141	avuç	su	2
142	avuç	terleme	3
143	avuç	yara	1
144	avuç	yüzük	1
145	avuç	çizgi	2
146	ayıp	ahlak	5
147	ayıp	açık	2
148	ayıp	bağnazlık	1
149	ayıp	bağırmak	1
150	ayıp	cinsellik	3
151	ayıp	dışlama	1
152	ayıp	erotik	1
153	ayıp	gelenek	1
154	ayıp	gizli	1
155	ayıp	gülmek	1
156	ayıp	günah	15
157	ayıp	hata	1
158	ayıp	kaba	1
159	ayıp	kabahat	1
160	ayıp	konuşmak	1
161	ayıp	kural	2
162	ayıp	kusur	2
163	ayıp	kötü	6
164	ayıp	küfür	5
165	ayıp	kınama	1
166	ayıp	kız	1
167	ayıp	kızarma	1
168	ayıp	kızdırma	1
169	ayıp	müstehcen	2
170	ayıp	namus	1
171	ayıp	neden	1
172	ayıp	onaysız	1
173	ayıp	saklı	2
174	ayıp	saygısızlık	1
175	ayıp	saçmalık	1
176	ayıp	susmak	2
177	ayıp	sıkıcı	2
178	ayıp	tabu	1
179	ayıp	terbiye	1
180	ayıp	toplum	4
181	ayıp	tövbe	2
182	ayıp	utanç verici	5
183	ayıp	uygunsuz	1
184	ayıp	vücut	1
185	ayıp	yalan	2
186	ayıp	yasak	1
187	ayıp	yatak	1
188	ayıp	yaşlı	1
189	ayıp	çalmak	1
190	ayıp	çirkin	2
191	ayıp	çocuk	2
192	ayıp	çıplak	2
193	ayıp	ön yargı	2
194	ayıp	örf	2
195	ayıp	özür	1
196	açlık	acı	1
197	açlık	ağrı	1
198	açlık	balık	1
199	açlık	ekmek	9
200	açlık	fakirlik	9
201	açlık	gece	1
202	açlık	grev	4
203	açlık	gurultu	3
204	açlık	his	1
205	açlık	kıtlık	2
206	açlık	mide	1
207	açlık	nefes	1
208	açlık	oruç	2
209	açlık	parasızlık	1
210	açlık	sefalet	17
211	açlık	sinirlilik	1
212	açlık	tokluk	5
213	açlık	yanma	1
214	açlık	yemek	28
215	açlık	yiyecek	2
216	açlık	yoksulluk	1
217	açlık	zayıflık	2
218	açlık	zorluk	1
219	açlık	ölüm	4
220	bacak	ayak	11
221	bacak	ayakkabı	2
222	bacak	ağda	1
223	bacak	baldır	3
224	bacak	beyaz	1
225	bacak	böcek	1
226	bacak	diz	4
227	bacak	etek	4
228	bacak	futbol	2
229	bacak	güzellik	3
230	bacak	kadın	4
231	bacak	kol	17
232	bacak	kıl	2
233	bacak	organ	5
234	bacak	pantolon	5
235	bacak	sakatlık	2
236	bacak	selülit	2
237	bacak	sütun	3
238	bacak	tavuk	1
239	bacak	tüy	1
240	bacak	uzun	5
241	bacak	uzuv	2
242	bacak	vücut	2
243	bacak	yorgun	1
244	bacak	yürümek	5
245	bacak	çorap	6
246	bacak	şort	1
247	balık	alabalık	1
248	balık	boğaz	3
249	balık	burç	5
250	balık	deniz	17
251	balık	ekmek	2
252	balık	et	1
253	balık	göl	1
254	balık	hamsi	11
255	balık	kalamar	1
256	balık	kayık	2
257	balık	koku	5
258	balık	kılçık	6
259	balık	lezzet	1
260	balık	limon	2
261	balık	lüfer	1
262	balık	mangal	1
263	balık	mercan	1
264	balık	mutluluk	1
265	balık	olta	4
266	balık	palamut	2
267	balık	rakı	4
268	balık	sahil	1
269	balık	salata	1
270	balık	sazan	1
271	balık	su	4
272	balık	tekir	1
273	balık	ton	1
274	balık	uskumru	1
275	balık	uğur	1
276	balık	yem	1
277	balık	yemek	5
278	balık	yumuşak	1
279	balık	yunus	1
280	balık	yüzgeç	1
281	balık	yüzmek	1
282	balık	zıpkın	1
283	balık	çipura	1
284	balık	ızgara	4
285	balık	şans	1
286	barınak	baraka	4
287	barınak	deprem	1
288	barınak	destek	1
289	barınak	dizi	1
290	barınak	ev	28
291	barınak	in	1
292	barınak	kadın	1
293	barınak	koruyucu	4
294	barınak	kulübe	8
295	barınak	kuytu	1
296	barınak	köhne	1
297	barınak	mağara	2
298	barınak	orman	3
299	barınak	savaş	1
300	barınak	sığınak	31
301	barınak	tahta	2
302	barınak	yazlık	1
303	barınak	yağmur	3
304	barınak	çadır	5
305	barınak	İlk Çağ	1
306	başıboş	akılsız	1
307	başıboş	avare	9
308	başıboş	aylak	8
309	başıboş	bağlı	1
310	başıboş	derbeder	1
311	başıboş	divane	1
312	başıboş	düşünür	1
313	başıboş	gençlik	1
314	başıboş	ilham	1
315	başıboş	insan	1
316	başıboş	ipsiz	2
317	başıboş	it	1
318	başıboş	işsiz	9
319	başıboş	kedi	1
320	başıboş	kimsesiz	3
321	başıboş	köpek	14
322	başıboş	kız	1
323	başıboş	mutluluk	1
324	başıboş	poşet	1
325	başıboş	rahat	3
326	başıboş	saf	1
327	başıboş	sahipsiz	1
328	başıboş	serbest	6
329	başıboş	sersefil	1
330	başıboş	serseri	15
331	başıboş	sokak	1
332	başıboş	sokak çocuğu	1
333	başıboş	soytarı	1
334	başıboş	sürü	1
335	başıboş	sıkıcı	1
336	başıboş	tatil	1
337	başıboş	tehlike	2
338	başıboş	tembel	1
339	başıboş	tinerci	1
340	başıboş	yalnız	1
341	başıboş	çöl	1
342	başıboş	çöp	1
343	başıboş	özgür	1
344	başıboş	öğrencilik	1
345	belge	ataç	1
346	belge	bilgi	1
347	belge	bilgisayar	1
348	belge	burs	1
349	belge	bürokrasi	8
350	belge	ciddiyet	1
351	belge	damga	2
352	belge	devlet	1
353	belge	dilekçe	1
354	belge	diploma	1
355	belge	doküman	2
356	belge	dosya	3
357	belge	evrak	8
358	belge	fatura	2
359	belge	formalite	1
360	belge	gerekli	1
361	belge	gizli	1
362	belge	idari	1
363	belge	ikametgah	1
364	belge	imza	6
365	belge	ispat	1
366	belge	kanıt	3
367	belge	kaynak	1
368	belge	kağıt	23
369	belge	keskinlik	1
370	belge	kuyruk	1
371	belge	mühür	1
372	belge	not	1
373	belge	okul	2
374	belge	polis	1
375	belge	problem	1
376	belge	resmiyet	6
377	belge	sayfa	1
378	belge	senet	1
379	belge	sıkıcı	1
380	belge	sıkıntı	2
381	belge	tapu	1
382	belge	tasdikname	1
383	belge	toz	1
384	belge	yazı	2
385	belge	zorluk	1
386	belge	önemli	1
387	belge	öğrenci	2
388	bilişim	bilgi	8
389	bilişim	bilgisayar	23
390	bilişim	bilim	1
391	bilişim	fuar	22
392	bilişim	iletişim	4
393	bilişim	iş	1
394	bilişim	karmaşa	1
395	bilişim	kompüter	1
396	bilişim	sektör	2
397	bilişim	sistem	3
398	bilişim	teknoloji	10
399	bilişim	telefon	1
400	bilişim	ulaşım	1
401	bilişim	yönetim	4
402	bilişim	İnternet	8
403	boğa	ahır	1
404	boğa	arena	9
405	boğa	boynuz	9
406	boğa	burç	23
407	boğa	güreş	19
408	boğa	hayvan	4
409	boğa	hırs	1
410	boğa	inatçı	1
411	boğa	inek	1
412	boğa	kaçmak	2
413	boğa	koç	2
414	boğa	köy	1
415	boğa	kırmızı	17
416	boğa	matador	1
417	boğa	nefret	1
418	boğa	sadık	1
419	boğa	saldırı	1
420	boğa	siyah	2
421	boğa	yılan	1
422	boğa	öfke	1
423	boğa	öküz	2
424	büro	avukat	1
425	büro	baba	2
426	büro	bayram	1
427	büro	bilgisayar	1
428	büro	bürokrasi	1
429	büro	dosya	3
430	büro	evrak	1
431	büro	film	1
432	büro	iş	24
433	büro	iş yeri	2
434	büro	işlem	1
435	büro	kalem	3
436	büro	koltuk	2
437	büro	malzeme	1
438	büro	masa	13
439	büro	mavi	1
440	büro	memur	1
441	büro	oda	2
442	büro	ofis	20
443	büro	oturmak	1
444	büro	para	1
445	büro	patron	1
446	büro	rahat	1
447	büro	sandalye	1
448	büro	sekreter	3
449	büro	sessizlik	1
450	büro	sıkıcı	3
451	büro	telefon	1
452	büro	yazıhane	1
453	büro	yorgunluk	1
454	büro	yığın	1
455	büro	çalışma	2
456	büro	şirket	1
457	cevap	akıl	1
458	cevap	bilgi	2
459	cevap	doğruluk	1
460	cevap	düşünme	1
461	cevap	hazır	6
462	cevap	karşılık	1
463	cevap	kolaylık	1
464	cevap	okuma	1
465	cevap	sivri zeka	1
466	cevap	soru	60
467	cevap	susmak	1
468	cevap	sınav	3
469	cevap	tepki	1
470	cevap	terslik	1
471	cevap	yanlış	2
472	cevap	yanıt	9
473	cevap	yazı	1
474	cevap	yok	2
475	cevap	ödev	1
476	cevap	önem	1
477	cevap	şık	2
478	delik	anahtar	2
479	delik	aralık	1
480	delik	atmosfer	1
481	delik	açmak	2
482	delik	ağız	1
483	delik	boru	1
484	delik	boşluk	6
485	delik	büyük	1
486	delik	cep	1
487	delik	derin	1
488	delik	dikiz	1
489	delik	dikiş	1
490	delik	dikmek	2
491	delik	düğme	11
492	delik	eksik	1
493	delik	elbise	1
494	delik	eski	1
495	delik	fare	1
496	delik	film	1
497	delik	flüt	1
498	delik	gökyüzü	1
499	delik	gözetlemek	1
500	delik	ilginç	1
501	delik	ilik	1
502	delik	ip	1
503	delik	iplik	1
504	delik	iğne	5
505	delik	kara delik	8
506	delik	karanlık	3
507	delik	kevgir	1
508	delik	kilit	1
509	delik	kulak	2
510	delik	kurşun	1
511	delik	kuyu	1
512	delik	küçük	1
513	delik	matkap	2
514	delik	oyuk	2
515	delik	ozon	1
516	delik	parmak	2
517	delik	sondaj	1
518	delik	sonsuz	1
519	delik	sızıntı	1
520	delik	tıpa	1
521	delik	uzak	1
522	delik	yama	1
523	delik	yırtık	3
524	delik	çorap	6
525	delik	çukur	10
526	delik	ışık	1
527	dinamik	aktif	5
528	dinamik	atak	2
529	dinamik	atik	1
530	dinamik	basınç	1
531	dinamik	canlı	1
532	dinamik	coşkulu	1
533	dinamik	dergi	2
534	dinamik	dinamit	1
535	dinamik	dinç	2
536	dinamik	elektrik	1
537	dinamik	enerji	3
538	dinamik	enerjik	20
539	dinamik	etkin	1
540	dinamik	fizik	4
541	dinamik	genç	4
542	dinamik	grup	1
543	dinamik	güçlü	2
544	dinamik	hareketli	20
545	dinamik	heyecan	1
546	dinamik	hiperaktif	1
547	dinamik	hızlı	4
548	dinamik	işletme	1
549	dinamik	kinetik	1
550	dinamik	koşu	1
551	dinamik	kuvvet	1
552	dinamik	makine	1
553	dinamik	mekanik	2
554	dinamik	neşeli	1
555	dinamik	pasif	1
556	dinamik	potansiyel	1
557	dinamik	saha	1
558	dinamik	sayaç	1
559	dinamik	sporcu	4
560	dinamik	statik	3
561	dinamik	zinde	2
562	dinamik	çalışkan	1
563	dizgin	at	67
564	dizgin	bilinç	1
565	dizgin	disiplin	1
566	dizgin	dolu	7
567	dizgin	dur	1
568	dizgin	duruş	3
569	dizgin	düzenli	1
570	dizgin	düğün	1
571	dizgin	el	1
572	dizgin	fren	1
573	dizgin	gem	1
574	dizgin	hızlı	1
575	dizgin	ip	3
576	dizgin	irade	1
577	dizgin	kontrol	2
578	dizgin	ot	1
579	dizgin	sakin	1
580	dizgin	santral	1
581	dizgin	sınırlama	2
582	dizgin	tutma	1
583	dizgin	yavaşlama	1
584	dizgin	yular	1
585	duygulu	acıklı	2
586	duygulu	acımasız	1
587	duygulu	ağlamak	11
588	duygulu	aşk	1
589	duygulu	coşku	2
590	duygulu	dramatik	1
591	duygulu	duyarlı	1
592	duygulu	duygusal	4
593	duygulu	düşünceli	2
594	duygulu	etkilenme	1
595	duygulu	gaddar	1
596	duygulu	gözyaşı	6
597	duygulu	hassas	13
598	duygulu	hayvan	1
599	duygulu	hikaye	1
600	duygulu	hisli	13
601	duygulu	hüzünlü	4
602	duygulu	ince	1
603	duygulu	içli	5
604	duygulu	içten	2
605	duygulu	kırılgan	1
606	duygulu	kız	2
607	duygulu	lirik	1
608	duygulu	masum	1
609	duygulu	mutlu	1
610	duygulu	nazik	1
611	duygulu	neşeli	1
612	duygulu	romantik	8
613	duygulu	saf	1
614	duygulu	sulu göz	2
615	duygulu	yaş	1
616	duygulu	üzgün	1
617	duygulu	şair	3
618	duygulu	şarkı	2
619	duygulu	şiir	1
620	elem	acı	13
621	elem	aşk	1
622	elem	beter	1
623	elem	cenaze	1
624	elem	dert	2
625	elem	doğal felaket	1
626	elem	dua	1
627	elem	efkar	1
628	elem	fal	1
629	elem	geçici	1
630	elem	hasret	1
631	elem	hastalık	2
632	elem	hüzün	2
633	elem	iş	1
634	elem	kaygı	1
635	elem	keder	45
636	elem	kitap	1
637	elem	kötü	1
638	elem	okul	1
639	elem	sıkılmak	1
640	elem	tasa	1
641	elem	verici	1
642	elem	yas	2
643	elem	yürek	1
644	elem	ölüm	6
645	elem	üzücü	1
646	elem	üzüntü	7
647	elem	ıstırap	1
648	elem	şiir	1
649	erozyon	acı	1
650	erozyon	afet	1
651	erozyon	ağaç	14
652	erozyon	aşınma	1
653	erozyon	bozkır	1
654	erozyon	coğrafya	2
655	erozyon	dağ	2
656	erozyon	doğa	1
657	erozyon	felaket	2
658	erozyon	heyelan	1
659	erozyon	kayma	1
660	erozyon	kayıp	3
661	erozyon	orman	2
662	erozyon	sarsıntı	1
663	erozyon	sel	1
664	erozyon	su	1
665	erozyon	tema	1
666	erozyon	toprak	55
667	erozyon	yangın	1
668	erozyon	zelzele	1
669	erozyon	çamur	1
670	erozyon	çöl	4
671	erozyon	ülke	1
672	erozyon	ıstırap	1
673	esinti	akşam	2
674	esinti	ayaz	1
675	esinti	bahar	1
676	esinti	deniz	2
677	esinti	ferahlık	7
678	esinti	fırtına	1
679	esinti	gece	1
680	esinti	hafif	2
681	esinti	hareket	1
682	esinti	hava	2
683	esinti	hoş	3
684	esinti	ilham	3
685	esinti	meltem	15
686	esinti	mont	1
687	esinti	mutluluk	1
688	esinti	rüzgar	41
689	esinti	sahil	1
690	esinti	serinlik	4
691	esinti	yaz	1
692	esinti	yel	6
693	esinti	ürperti	1
694	esinti	üşüme	1
695	esinti	ılık	2
696	ev	aile	16
697	ev	anne	1
698	ev	apartman	1
699	ev	araba	5
700	ev	arkadaş	1
701	ev	aşk	1
702	ev	bahçe	1
703	ev	bark	1
704	ev	bina	1
705	ev	birliktelik	1
706	ev	duvar	1
707	ev	güven	1
708	ev	güzel	1
709	ev	havuz	1
710	ev	huzur	14
711	ev	kalabalık	1
712	ev	kira	3
713	ev	memleket	1
714	ev	oda	5
715	ev	pencere	1
716	ev	rahatlık	3
717	ev	sıcaklık	13
718	ev	sığınak	1
719	ev	tatil	1
720	ev	uzak	1
721	ev	villa	1
722	ev	yatak	1
723	ev	yazlık	1
724	ev	yuva	7
725	ev	çatı	13
726	eşya	alet	2
727	eşya	araç	1
728	eşya	bavul	1
729	eşya	bağlantı	1
730	eşya	beyaz	1
731	eşya	boşluk	1
732	eşya	dolap	7
733	eşya	elbise	1
734	eşya	ev	30
735	eşya	fazlalık	1
736	eşya	geniş	1
737	eşya	giysi	1
738	eşya	hacim	1
739	eşya	kalabalık	1
740	eşya	kamyon	1
741	eşya	kargo	1
742	eşya	kağıt	1
743	eşya	koltuk	4
744	eşya	küçük	1
745	eşya	kırılma	1
746	eşya	madde	2
747	eşya	mal	4
748	eşya	masa	2
749	eşya	masraf	1
750	eşya	mobilya	11
751	eşya	oda	9
752	eşya	para	2
753	eşya	sahiplik	1
754	eşya	sandalye	3
755	eşya	tahta	1
756	eşya	taşınmak	1
757	eşya	televizyon	1
758	eşya	yatak	1
759	eşya	özel	1
760	eşya	şarkı	1
761	gelin	beyaz	9
762	gelin	damat	33
763	gelin	dizi	1
764	gelin	duvak	8
765	gelin	düğün	7
766	gelin	evlenmek	1
767	gelin	evlilik	3
768	gelin	gelinlik	16
769	gelin	genç	1
770	gelin	güvey	1
771	gelin	güzel	2
772	gelin	hayal	1
773	gelin	hizmet	1
774	gelin	kaynana	6
775	gelin	kaçırma	1
776	gelin	kibar	1
777	gelin	kırmızı	1
778	gelin	mutluluk	2
779	gelin	narin	1
780	gelin	naz	1
781	gelin	saflık	2
782	gelin	çiçek	1
783	geçerlik	belge	1
784	geçerlik	cam	1
785	geçerlik	deney	1
786	geçerlik	ders	1
787	geçerlik	diploma	1
788	geçerlik	doğruluk	9
789	geçerlik	durum	2
790	geçerlik	etiket	1
791	geçerlik	eğitim	1
792	geçerlik	genel	5
793	geçerlik	gereksiz	1
794	geçerlik	gerçek	1
795	geçerlik	geçerli	1
796	geçerlik	geçici	1
797	geçerlik	geçiş	1
798	geçerlik	giden	1
799	geçerlik	görece	1
800	geçerlik	güvenirlik	1
801	geçerlik	hakikat	1
802	geçerlik	iptal	1
803	geçerlik	kabul	1
804	geçerlik	kalite	1
805	geçerlik	kalımlı	1
806	geçerlik	kart	2
807	geçerlik	kazanmak	1
808	geçerlik	kesin	1
809	geçerlik	kral	1
810	geçerlik	kredi kartı	1
811	geçerlik	kural	1
812	geçerlik	kuram	1
813	geçerlik	mantık	1
814	geçerlik	matematik	1
815	geçerlik	miat	1
816	geçerlik	nesnel	1
817	geçerlik	net	1
818	geçerlik	not	6
819	geçerlik	onay	1
820	geçerlik	para	1
821	geçerlik	paso	1
822	geçerlik	politika	1
823	geçerlik	psikoloji	1
824	geçerlik	ret	1
825	geçerlik	sabıka	1
826	geçerlik	sebep	1
827	geçerlik	sorgulanabilir	1
828	geçerlik	su	1
829	geçerlik	süre	16
830	geçerlik	sınav	2
831	geçerlik	sıradan	1
832	geçerlik	teori	1
833	geçerlik	tutarlık	1
834	geçerlik	uygunluk	4
835	geçerlik	yalan	1
836	geçerlik	yanlış	1
837	geçerlik	yasa	1
838	geçerlik	yasak	1
839	geçerlik	yeter	1
840	geçerlik	yürütme	1
841	geçerlik	yüzyıl	1
842	geçerlik	zaman	3
843	giysi	alışveriş	4
844	giysi	ayakkabı	2
845	giysi	bluz	1
846	giysi	ceket	1
847	giysi	dolap	3
848	giysi	elbise	22
849	giysi	etek	1
850	giysi	giyinme	1
851	giysi	gömlek	2
852	giysi	güzel	1
853	giysi	hanım	1
854	giysi	hırka	1
855	giysi	kalite	1
856	giysi	kazak	2
857	giysi	kol	1
858	giysi	koruyucu	2
859	giysi	kumaş	2
860	giysi	kılık	1
861	giysi	kıyafet	18
862	giysi	marka	4
863	giysi	mağaza	2
864	giysi	moda	1
865	giysi	pantolon	5
866	giysi	para	3
867	giysi	soyunmak	2
868	giysi	temiz	1
869	giysi	tişört	1
870	giysi	uyum	1
871	giysi	vücut	2
872	giysi	yeşil	1
873	giysi	çıplak	2
874	giysi	örtü	4
875	giysi	özen	1
876	giysi	üşümek	1
877	giysi	şık	2
878	gülüş	ağlama	1
879	gülüş	ağız	1
880	gülüş	bebek	1
881	gülüş	cilve	1
882	gülüş	diş	17
883	gülüş	dudak	1
884	gülüş	espri	6
885	gülüş	eğlence	1
886	gülüş	gamze	6
887	gülüş	güzellik	4
888	gülüş	heyecan	1
889	gülüş	kahkaha	8
890	gülüş	karakter	1
891	gülüş	komik	3
892	gülüş	kırışık	1
893	gülüş	mutluluk	15
894	gülüş	nezaket	1
895	gülüş	neşe	5
896	gülüş	samimiyet	2
897	gülüş	sempati	1
898	gülüş	sevgi	2
899	gülüş	sevgili	1
900	gülüş	sevinç	3
901	gülüş	surat	2
902	gülüş	sıcaklık	1
903	gülüş	tebessüm	7
904	gülüş	uzak	1
905	gülüş	yanak	2
906	gülüş	yüz	1
907	gülüş	zor	1
908	gülüş	ılımlı	1
909	gülüş	şirin	1
910	gıcırtı	dolap	1
911	gıcırtı	gürültü	5
912	gıcırtı	gıcık	1
913	gıcırtı	huzursuzluk	1
914	gıcırtı	hışırtı	1
915	gıcırtı	kapı	58
916	gıcırtı	korku	1
917	gıcırtı	kulak	1
918	gıcırtı	rahatsızlık	4
919	gıcırtı	salıncak	1
920	gıcırtı	ses	17
921	gıcırtı	sessizlik	1
922	gıcırtı	sinir	2
923	gıcırtı	sıkıntı	1
924	gıcırtı	tıkırtı	2
925	gıcırtı	yatak	2
926	gıcırtı	yağ	1
927	hasar	acı	1
928	hasar	araba	3
929	hasar	darp	1
930	hasar	deprem	23
931	hasar	dolu	1
932	hasar	duvar	1
933	hasar	döküntü	1
934	hasar	ekonomi	1
935	hasar	ev	1
936	hasar	görmek	1
937	hasar	kayıp	4
938	hasar	kaza	10
939	hasar	korku	1
940	hasar	masraf	1
941	hasar	para	1
942	hasar	tahribat	2
943	hasar	tahta	1
944	hasar	tamirci	1
945	hasar	tazmin	1
946	hasar	tespit	3
947	hasar	yangın	1
948	hasar	yıkım	2
949	hasar	yıkıntı	6
950	hasar	zarar	22
951	hasar	zayıf	1
952	hasar	ziyan	8
953	hasar	çatı	1
954	hata	af	2
955	hata	affedilmez	2
956	hata	affetmek	3
957	hata	aksaklık	1
958	hata	anlayış	1
959	hata	ağır	1
960	hata	bedel	1
961	hata	bilgisayar	1
962	hata	ceza	4
963	hata	deneyim	1
964	hata	ders	2
965	hata	dikkatsizlik	1
966	hata	doğal	1
967	hata	doğru	3
968	hata	düzeltme	6
969	hata	engel	1
970	hata	gayret	1
971	hata	gerekli	1
972	hata	hayat	3
973	hata	ihmal	1
974	hata	ilişki	1
975	hata	insan	2
976	hata	iyi	1
977	hata	kabul	1
978	hata	kamuflaj	1
979	hata	kul	2
980	hata	kusur	2
981	hata	kötü	1
982	hata	kızarma	1
983	hata	matematik	1
984	hata	mükemmel	1
985	hata	pişmanlık	4
986	hata	problem	1
987	hata	puan	1
988	hata	soru	1
989	hata	sorun	1
990	hata	sınav	4
991	hata	tecrübe	1
992	hata	telafi	1
993	hata	yanlış	29
994	hata	yanılmak	1
995	hata	yazık	1
996	hata	yaşam	1
997	hata	öğrenme	3
998	hayat	acı	3
999	hayat	aile	1
1000	hayat	amaç	1
1001	hayat	başarı	1
1002	hayat	bebek	1
1003	hayat	beyaz	2
1004	hayat	bilgi	1
1005	hayat	canlı	3
1006	hayat	dert	1
1007	hayat	dünya	1
1008	hayat	eş	1
1009	hayat	gerçek	1
1010	hayat	güzel	5
1011	hayat	hayal	1
1012	hayat	insan	2
1013	hayat	kısa	2
1014	hayat	mavi	1
1015	hayat	mutluluk	2
1016	hayat	mücadele	1
1017	hayat	nefes	3
1018	hayat	neşe	1
1019	hayat	sevinç	1
1020	hayat	sevmek	1
1021	hayat	son	2
1022	hayat	su	7
1023	hayat	süreç	1
1024	hayat	sınav	3
1025	hayat	telaş	1
1026	hayat	umut	2
1027	hayat	uzun	5
1028	hayat	yaşam	23
1029	hayat	yıl	1
1030	hayat	zorluk	1
1031	hayat	zorunluluk	1
1032	hayat	çabuk	1
1033	hayat	ölüm	11
1034	hayat	ömür	3
1035	hayat	ışık	1
1036	hayvan	ahır	1
1037	hayvan	arkadaş	1
1038	hayvan	aslan	2
1039	hayvan	at	11
1040	hayvan	avcı	1
1041	hayvan	ayı	1
1042	hayvan	bitki	2
1043	hayvan	boğa	1
1044	hayvan	canlı	1
1045	hayvan	doğa	1
1046	hayvan	et	1
1047	hayvan	evcil	1
1048	hayvan	eşek	2
1049	hayvan	fobi	1
1050	hayvan	görevli	1
1051	hayvan	güvercin	1
1052	hayvan	inek	1
1053	hayvan	insan	7
1054	hayvan	it	1
1055	hayvan	kaba	1
1056	hayvan	kedi	17
1057	hayvan	korku	1
1058	hayvan	kuş	3
1059	hayvan	köpek	23
1060	hayvan	köy	1
1061	hayvan	mama	1
1062	hayvan	maymun	1
1063	hayvan	sadakat	1
1064	hayvan	sevgi	3
1065	hayvan	sevimli	1
1066	hayvan	tüy	2
1067	hayvan	varlık	1
1068	hayvan	veteriner	1
1069	hayvan	yardımcı	1
1070	hayvan	yığın	1
1071	hayvan	öküz	3
1072	haz	aşk	3
1073	haz	belirsiz	1
1074	haz	dans	1
1075	haz	doyum	2
1076	haz	duymak	1
1077	haz	duyum	1
1078	haz	elem	1
1079	haz	eğlence	2
1080	haz	fantezi	1
1081	haz	felsefe	2
1082	haz	geçici	1
1083	haz	güzel	1
1084	haz	ihtiras	2
1085	haz	istek	5
1086	haz	kahve	1
1087	haz	keyif	2
1088	haz	leziz	1
1089	haz	lezzet	1
1090	haz	mutluluk	7
1091	haz	rahatlık	1
1092	haz	sevgi	1
1093	haz	sevinç	2
1094	haz	tat	1
1095	haz	tatil	1
1096	haz	tatlı	1
1097	haz	tokluk	1
1098	haz	uyumak	1
1099	haz	yakıcı	1
1100	haz	yalancı	1
1101	haz	yemek	3
1102	haz	zevk	46
1103	haz	çikolata	1
1104	haz	şehvet	1
1105	haz	şevk	2
1106	hoşnut	anne	1
1107	hoşnut	güler yüz	1
1108	hoşnut	gülümseme	3
1109	hoşnut	gülüş	2
1110	hoşnut	güzel	2
1111	hoşnut	huzur	3
1112	hoşnut	iyi	3
1113	hoşnut	keyif	1
