Target	Assoc	n	Root	Root.n	Ratio
imza	kişinin simgesi	1	kişi	2	0.42
imza	kişisel	2	kişi	2	0.73
imza	resmi	4	resmi	4	1.0
imza	resmiyet	4	resmi	4	0.77
imza	söz	2	söz	2	1.0
imza	sözleşme	2	söz	2	0.55
imza	önem	1	önem	1	1.0
imza	önemli	1	önem	1	0.8
inanç	din	52	din	52	1.0
inanç	dinler	1	din	52	0.67
inanç	güç	3	güç	3	1.0
inanç	güçlülük	1	güç	3	0.55
inanç	İslam	2	İslam	2	1.0
inanç	İslamiyet	1	İslam	2	0.71
iyilik	iyi	1	iyi	1	1.0
iyilik	iyi hissetmek	1	iyi	1	0.38
iyilik	yardım	7	yardım	7	1.0
iyilik	yardımsever	3	yardım	7	0.71
kapı	kol	4	kol	4	1.0
kapı	kolu	3	kol	4	0.86
kas	güç	15	güç	15	1.0
kas	güçlü	1	güç	15	0.75
kas	kol	4	kol	4	1.0
kas	kolye	1	kol	4	0.75
kas	kuvvet	2	kuvvet	2	1.0
kas	kuvvetli	1	kuvvet	2	0.86
kas	spor	17	spor	17	1.0
kas	spor salonu	1	spor	17	0.53
katil	hapis	1	hapis	1	1.0
katil	hapishane	1	hapis	1	0.71
katil	kan	5	kan	5	1.0
katil	kanal	1	kan	5	0.75
katil	kanun	1	kan	5	0.75
katil	kötü	1	kötü	1	1.0
katil	kötülük	1	kötü	1	0.73
katil	suç	5	suç	5	1.0
katil	suçlama	1	suç	5	0.6
katil	suçlu	14	suç	5	0.75
katil	ölü	1	ölü	1	1.0
katil	ölüm	10	ölü	1	0.86
kayıp	arama	1	arama	1	1.0
kayıp	aramak	6	arama	1	0.91
kayıp	boş	1	boş	1	1.0
kayıp	boşluk	1	boş	1	0.67
kayıp	bul	1	bul	1	1.0
kayıp	bulmak	1	bul	1	0.67
kayıp	bulunmaz	1	bul	1	0.55
kayıp	bulunmuş	1	bul	1	0.55
kayıp	yok	2	yok	2	1.0
kayıp	yok olmak	1	yok	2	0.5
kayıp	yokluk	2	yok	2	0.67
kayıp	yoksun	1	yok	2	0.67
kuş	özgür	6	özgür	6	1.0
kuş	özgürlük	16	özgür	6	0.77
külhan	bey	29	bey	29	1.0
külhan	beygir	1	bey	29	0.67
külhan	beyi	4	bey	29	0.86
külhan	beylik	1	bey	29	0.67
külhan	beyliği	1	bey	29	0.6
kırmızı	al	4	al	4	1.0
kırmızı	alarm	1	al	4	0.57
kırmızı	seks	1	seks	1	1.0
kırmızı	seksi	1	seks	1	0.89
lezzet	damak	2	damak	2	1.0
lezzet	damak tadı	1	damak	2	0.67
lezzet	tat	18	tat	18	1.0
lezzet	tatlı	3	tat	18	0.75
medya	gazete	5	gazete	5	1.0
medya	gazetecilik	1	gazete	5	0.71
meraklı	anne	1	anne	1	1.0
meraklı	annem	1	anne	1	0.89
meraklı	araştırma	1	araştırma	1	1.0
meraklı	araştırmacı	3	araştırma	1	0.9
meraklı	araştırmak	1	araştırma	1	0.95
meraklı	bilim	1	bilim	1	1.0
meraklı	bilim insanı	1	bilim	1	0.59
meraklı	dedikodu	5	dedikodu	5	1.0
meraklı	dedikoducu	4	dedikodu	5	0.89
meraklı	göz	1	göz	1	1.0
meraklı	gözlemci	1	göz	1	0.55
meraklı	gözlük	3	göz	1	0.67
meraklı	kişi	1	kişi	1	1.0
meraklı	kişilik	1	kişi	1	0.73
meraklı	teyze	1	teyze	1	1.0
meraklı	teyzeler	1	teyze	1	0.77
metal	gri	2	gri	2	1.0
metal	grip	1	gri	2	0.86
metal	iş	2	iş	2	1.0
metal	işlemek	1	iş	2	0.44
metal	işletme	1	iş	2	0.44
metal	işçilik	1	iş	2	0.44
mineral	sağlık	2	sağlık	2	1.0
mineral	sağlıklı	2	sağlık	2	0.86
mineral	yarar	1	yarar	1	1.0
mineral	yararlı	2	yarar	1	0.83
müftülük	din	22	din	22	1.0
müftülük	din işleri	1	din	22	0.46
müftülük	resmi	2	resmi	2	1.0
müftülük	resmiyet	1	resmi	2	0.77
nezle	burun	10	burun	10	1.0
nezle	burun akıntısı	1	burun	10	0.53
nezle	hasta	7	hasta	7	1.0
nezle	hastalık	13	hasta	7	0.77
oksijen	yaşam	5	yaşam	5	1.0
oksijen	yaşam kaynağı	1	yaşam	5	0.56
oksijen	yaşamak	1	yaşam	5	0.83
papatya	mutlu	1	mutlu	1	1.0
papatya	mutluluk	1	mutlu	1	0.77
papatya	sevgi	3	sevgi	3	1.0
papatya	sevgili	1	sevgi	3	0.83
papatya	çiçek	35	çiçek	35	1.0
papatya	çiçekçi	1	çiçek	35	0.83
para	kağıt	5	kağıt	5	1.0
para	kağıt para	1	kağıt	5	0.67
para	zengin	5	zengin	5	1.0
para	zenginlik	5	zengin	5	0.8
parke	ev	10	ev	10	1.0
parke	evlilik	2	ev	10	0.44
parke	yer	22	yer	22	1.0
parke	yer döşemesi	1	yer	22	0.4
paslı	kir	1	kir	1	1.0
paslı	kirli	6	kir	1	0.75
paslı	küf	1	küf	1	1.0
paslı	küflü	1	küf	1	0.75
peşinatsız	kredi	3	kredi	3	1.0
peşinatsız	kredi kartı	5	kredi	3	0.62
peşinatsız	para	12	para	12	1.0
peşinatsız	parasız	1	para	12	0.73
peşinatsız	taksit	12	taksit	12	1.0
peşinatsız	taksitli	2	taksit	12	0.86
peşinatsız	vade	8	vade	8	1.0
peşinatsız	vade farksız	1	vade	8	0.5
peşinatsız	vadesiz	7	vade	8	0.73
peşinatsız	ön ödeme	1	ön ödeme	1	1.0
peşinatsız	ön ödemesiz	1	ön ödeme	1	0.84
pire	bit	28	bit	28	1.0
pire	bitkinlik	1	bit	28	0.5
pire	pis	1	pis	1	1.0
pire	pislik	3	pis	1	0.67
pomat	yara	12	yara	12	1.0
pomat	yaralı	1	yara	12	0.8
sadık	bağlı	5	bağlı	5	1.0
sadık	bağlı kimse	1	bağlı	5	0.62
sadık	bağlılık	2	bağlı	5	0.77
sadık	güven	5	güven	5	1.0
sadık	güvenilir	14	güven	5	0.71
sadık	köpek	20	köpek	20	1.0
sadık	köpek yavrusu	1	köpek	20	0.56
sadık	sadakat	3	sadakat	3	1.0
sadık	sadakatli	1	sadakat	3	0.88
sadık	sevgi	4	sevgi	4	1.0
sadık	sevgili	6	sevgi	4	0.83
sazlık	göl	10	göl	10	1.0
sazlık	gölge	1	göl	10	0.75
sazlık	ot	9	ot	9	1.0
sazlık	otluk	2	ot	9	0.57
sazlık	saman	2	saman	2	1.0
sazlık	samanlık	1	saman	2	0.77
sazlık	yeşil	1	yeşil	1	1.0
sazlık	yeşillik	1	yeşil	1	0.77
sazlık	çimen	1	çimen	1	1.0
sazlık	çimenlik	1	çimen	1	0.77
serin	güz	1	güz	1	1.0
serin	güzel	1	güz	1	0.75
serin	rahat	2	rahat	2	1.0
serin	rahatlık	1	rahat	2	0.77
serin	rüzgar	13	rüzgar	13	1.0
serin	rüzgarlı	1	rüzgar	13	0.86
sofra	bez	2	bez	2	1.0
sofra	bezi	1	bez	2	0.86
sofra	masa	11	masa	11	1.0
sofra	masa örtüsü	1	masa	11	0.53
sofra	yer	3	yer	3	1.0
sofra	yer sofrası	1	yer	3	0.43
solo	tek	18	tek	18	1.0
solo	tek parça	1	tek	18	0.5
solo	teklik	1	tek	18	0.67
solo	yalnız	5	yalnız	5	1.0
solo	yalnızlık	3	yalnız	5	0.8
solo	şarkı	6	şarkı	6	1.0
solo	şarkıcı	1	şarkı	6	0.83
soğan	göz	1	göz	1	1.0
soğan	göz yanması	1	göz	1	0.43
soğan	gözyaşı	20	göz	1	0.6
standart	düz	2	düz	2	1.0
standart	düzen	2	düz	2	0.75
standart	norm	3	norm	3	1.0
standart	normal	12	norm	3	0.8
standart	orta	1	orta	1	1.0
standart	ortalama	4	orta	1	0.67
standart	sıradan	5	sıradan	5	1.0
standart	sıradanlık	1	sıradan	5	0.82
standart	tek	2	tek	2	1.0
standart	tek tip	1	tek	2	0.6
standart	tekdüze	2	tek	2	0.6
standart	uygun	5	uygun	5	1.0
standart	uygunluk	1	uygun	5	0.77
suç	ceza	57	ceza	57	1.0
suç	cezaevi	3	ceza	57	0.73
suç	hapis	10	hapis	10	1.0
suç	hapishane	1	hapis	10	0.71
suç	kötü	1	kötü	1	1.0
suç	kötülük	1	kötü	1	0.73
süresiz	rahat	1	rahat	1	1.0
süresiz	rahatlık	2	rahat	1	0.77
süresiz	sonsuz	22	sonsuz	22	1.0
süresiz	sonsuzluk	2	sonsuz	22	0.8
süresiz	sınırsız	15	sınırsız	15	1.0
süresiz	sınırsızlık	2	sınırsız	15	0.84
süresiz	zaman	9	zaman	9	1.0
süresiz	zamansız	3	zaman	9	0.77
süresiz	ölüm	1	ölüm	1	1.0
süresiz	ölümsüzlük	1	ölüm	1	0.57
takoz	ayak	1	ayak	1	1.0
takoz	ayakkabı	5	ayak	1	0.67
takoz	kısa	1	kısa	1	1.0
takoz	kısa boy	1	kısa	1	0.67
tane	bir	9	bir	9	1.0
tane	biricik	1	bir	9	0.6
tane	kar	4	kar	4	1.0
tane	karabiber	2	kar	4	0.5
tane	tek	12	tek	12	1.0
tane	tek tek	1	tek	12	0.6
tane	teknoloji	1	tek	12	0.5
tane	çok	1	çok	1	1.0
tane	çokluk	2	çok	1	0.67
tanıtım	bilgi	3	bilgi	3	1.0
tanıtım	bilgilendirme	1	bilgi	3	0.56
tanıtım	gösteri	1	gösteri	1	1.0
tanıtım	gösterim	1	gösteri	1	0.93
tanıtım	reklam	34	reklam	34	1.0
tanıtım	reklamcılık	1	reklam	34	0.71
televizyon	aptal	1	aptal	1	1.0
televizyon	aptal kutusu	1	aptal	1	0.59
televizyon	bilgi	1	bilgi	1	1.0
televizyon	bilgisayar	1	bilgi	1	0.67
televizyon	boş	1	boş	1	1.0
televizyon	boş kutu	1	boş	1	0.55
televizyon	haber	6	haber	6	1.0
televizyon	haberler	1	haber	6	0.77
televizyon	kana	1	kana	1	1.0
televizyon	kanal	7	kana	1	0.89
televizyon	renk	3	renk	3	1.0
televizyon	renkler	1	renk	3	0.73
televizyon	renkli	1	renk	3	0.8
televizyon	zaman	1	zaman	1	1.0
televizyon	zaman kaybı	1	zaman	1	0.62
toz	bez	3	bez	3	1.0
toz	bezi	2	bez	3	0.86
toz	kir	14	kir	14	1.0
toz	kirli	2	kir	14	0.75
toz	kirlilik	2	kir	14	0.55
toz	kirli	2	kirli	2	1.0
toz	kirlilik	2	kirli	2	0.77
toz	pis	6	pis	6	1.0
toz	pislik	5	pis	6	0.67
uçak	hava	11	hava	11	1.0
uçak	hava alanı	1	hava	11	0.57
uçak	havaalanı	3	hava	11	0.62
uçak	uzak	1	uzak	1	1.0
uçak	uzaklaşma	1	uzak	1	0.62
uçak	yol	1	yol	1	1.0
uçak	yolculuk	7	yol	1	0.55
uçak	yüksek	1	yüksek	1	1.0
uçak	yükseklik	1	yüksek	1	0.8
vali	bakan	1	bakan	1	1.0
vali	bakanlık	1	bakan	1	0.77
vali	ev	1	ev	1	1.0
vali	evrak	1	ev	1	0.57
vali	il	2	il	2	1.0
vali	ilk yardım	1	il	2	0.33
vali	ilçe	1	il	2	0.67
vali	kar	1	kar	1	1.0
vali	kar tatili	3	kar	1	0.46
vatan	yurt	7	yurt	7	1.0
vatan	yurttaş	1	yurt	7	0.73
yama	ek	2	ek	2	1.0
yama	ekleme	1	ek	2	0.5
yama	eski	10	eski	10	1.0
yama	eskimiş	1	eski	10	0.73
yama	fakir	1	fakir	1	1.0
yama	fakirlik	2	fakir	1	0.77
yama	kot	2	kot	2	1.0
yama	kot pantolon	1	kot	2	0.4
yama	parça	1	parça	1	1.0
yama	parçalama	1	parça	1	0.71
yama	yoksul	1	yoksul	1	1.0
yama	yoksulluk	1	yoksul	1	0.8
yarış	araba	27	araba	27	1.0
yarış	arabalar	1	araba	27	0.77
yarış	at	17	at	17	1.0
yarış	ateş	1	at	17	0.67
yarış	atı	1	at	17	0.8
yarış	koşma	1	koşma	1	1.0
yarış	koşmak	2	koşma	1	0.91
yeni	farklı	1	farklı	1	1.0
yeni	farklılık	1	farklı	1	0.8
yeni	gıcır	1	gıcır	1	1.0
yeni	gıcır gıcır	1	gıcır	1	0.62
yeni	temiz	5	temiz	5	1.0
yeni	temizlik	1	temiz	5	0.77
yoga	dingin	1	dingin	1	1.0
yoga	dinginlik	2	dingin	1	0.8
yoga	esne	1	esne	1	1.0
yoga	esnek	1	esne	1	0.89
yoga	esneklik	2	esne	1	0.67
yoga	esneme	1	esne	1	0.8
yoga	esnek	1	esnek	1	1.0
yoga	esneklik	2	esnek	1	0.77
yoga	huzur	10	huzur	10	1.0
yoga	huzurlu	1	huzur	10	0.83
yoga	rahat	1	rahat	1	1.0
yoga	rahatlama	7	rahat	1	0.71
yoga	rahatlamak	4	rahat	1	0.67
yoga	rahatlık	4	rahat	1	0.77
yoga	rahatlama	7	rahatlama	7	1.0
yoga	rahatlamak	4	rahatlama	7	0.95
yoga	sakin	1	sakin	1	1.0
yoga	sakinlik	2	sakin	1	0.77
yoga	saçma	1	saçma	1	1.0
yoga	saçmalık	1	saçma	1	0.77
zaman	hız	4	hız	4	1.0
zaman	hızlı	5	hız	4	0.75
zaman	kum	1	kum	1	1.0
zaman	kum saati	3	kum	1	0.5
zaman	kısıtlı	1	kısıtlı	1	1.0
zaman	kısıtlılık	1	kısıtlı	1	0.82
çehre	göz	1	göz	1	1.0
çehre	gözyaşı	1	göz	1	0.6
çehre	yüz	60	yüz	60	1.0
çehre	yüzeysel	1	yüz	60	0.55
çömlek	kap	6	kap	6	1.0
çömlek	kapı	1	kap	6	0.86
övgü	ego	3	ego	3	1.0
övgü	ego kabarması	1	ego	3	0.38
övgü	hak	1	hak	1	1.0
övgü	hakketmek	1	hak	1	0.5
övgü	iyi	1	iyi	1	1.0
övgü	iyi anlatmak	1	iyi	1	0.4
övgü	iyi his	1	iyi	1	0.6
övgü	iyilik	1	iyi	1	0.67
övgü	iyimser	1	iyi	1	0.6
özet	kısa	31	kısa	31	1.0
özet	kısa yol	1	kısa	31	0.67
özet	kısaca	1	kısa	31	0.8
özet	kısaltma	3	kısa	31	0.67
özet	kısaltmak	2	kısa	31	0.62
özet	kısalık	1	kısa	31	0.73
özet	kısaltma	3	kısaltma	3	1.0
özet	kısaltmak	2	kısaltma	3	0.94
özlem	anne	6	anne	6	1.0
özlem	anneannem	1	anne	6	0.62
özlem	sevgi	9	sevgi	9	1.0
özlem	sevgili	3	sevgi	9	0.83
şiddetli	gürültü	1	gürültü	1	1.0
şiddetli	gürültülü	1	gürültü	1	0.88
şiddetli	kavga	9	kavga	9	1.0
şiddetli	kavgacı	1	kavga	9	0.83
şiddetli	korku	3	korku	3	1.0
şiddetli	korkutucu	1	korku	3	0.71
